event_id,event_status,current_line,current_total,capture_time,ML_away,ML_home
179631777,NOT_STARTED,-5.5,42.0,2020-12-16 16:49:26.866907-05:00,185.0,-230.0
179631778,NOT_STARTED,-14.0,67.5,2020-12-16 16:49:26.866907-05:00,350.0,-530.0
179633143,NOT_STARTED,-3.5,63.5,2020-12-16 16:49:26.866907-05:00,123.0,-152.0
179631827,NOT_STARTED,14.0,51.5,2020-12-16 16:49:26.866907-05:00,-625.0,430.0
179626826,NOT_STARTED,-21.0,57.5,2020-12-16 16:49:26.866907-05:00,800.0,-1430.0
179625640,NOT_STARTED,5.5,57.5,2020-12-16 16:49:26.866907-05:00,-195.0,155.0
179631863,NOT_STARTED,-6.5,66.0,2020-12-16 16:49:26.866907-05:00,160.0,-200.0
179631830,NOT_STARTED,-10.5,57.5,2020-12-16 16:49:26.866907-05:00,280.0,-375.0
179631832,NOT_STARTED,2.5,37.0,2020-12-16 16:49:26.866907-05:00,-148.0,120.0
179631864,NOT_STARTED,-3.0,54.5,2020-12-16 16:49:26.866907-05:00,120.0,-148.0
179631833,NOT_STARTED,2.5,78.0,2020-12-16 16:49:26.866907-05:00,-127.0,105.0
179631834,NOT_STARTED,2.0,50.5,2020-12-16 16:49:26.866907-05:00,-127.0,105.0
179625583,NOT_STARTED,-10.5,60.5,2020-12-16 16:49:26.866907-05:00,275.0,-360.0
179631835,NOT_STARTED,-12.0,47.5,2020-12-16 16:49:26.866907-05:00,350.0,-480.0
179631838,NOT_STARTED,6.5,54.5,2020-12-16 16:49:26.866907-05:00,-230.0,180.0
179631841,NOT_STARTED,-15.5,52.5,2020-12-16 16:49:26.866907-05:00,500.0,-715.0
179631847,NOT_STARTED,-7.5,59.0,2020-12-16 16:49:26.866907-05:00,210.0,-278.0
179631850,NOT_STARTED,-2.5,50.5,2020-12-16 16:49:26.866907-05:00,108.0,-132.0
179625581,NOT_STARTED,-17.0,74.5,2020-12-16 16:49:26.866907-05:00,480.0,-770.0
